identifiant,titre,description,lien,état,prix,disponibilité,lien image,gtin,référence fabricant,marque
572,Base appui-tête inclinable et rétractable Oakworks,"La base appui-tête inclinable et rétractable de Oakworks vous offre 2 ajustements diférents pour vous permettre de positionner votre appui-tête exactement comme votre client le désire. ,
,Comme vous pouvez soulever la plateforme, il est l'outil idéal pour ceux qui ont des coussins épais sur leur table (comme le coussin pour là femmes enceinte).",https://massageboutik.com/fr/equipements-de-massage/572-base-appui-tete-inclinable-et-retractable-oakworks.html,new,CAD$127.99,In Stock,https://massageboutik.com/2607-large_default/base-appui-tete-inclinable-et-retractable-oakworks.jpg,,672746-2,"
						Oakworks
					"
955,MassOcrème Cellulite 240ml - MASSOLEUM,Acheter MassOcrème Cellulite 240ml - MASSOLEUM de Massage Boutik,https://massageboutik.com/fr/produits-de-massage/955-massoleum-massocreme.html,new,CAD$30.00,In Stock,https://massageboutik.com/3999-large_default/massoleum-massocreme.jpg,,MCC-240ML,"
						MASSOLÉUM
					"
1030,Huile Végétale vierge de Chanvre (Cannabis sativa),"Huile Végétale vierge de Chanvre (Cannabis sativa),
,Le chanvre est une plante herbacée annuelle dioïque vraisemblablement originaire d'Asie centrale.,
,C’est une huile dite « sèche » qui pénètre rapidement la peau sans laisser de film gras. Raffermissante et assouplissante, elle aide à maintenir l'élasticité et la jeunesse de la peau.",https://massageboutik.com/fr/magasiner-tout-produits-massage-boutik/1030-huile-vegetale-vierge-de-chanvre-cannabis-sativa.html,new,CAD$9.63,In Stock,https://massageboutik.com/4635-large_default/huile-vegetale-vierge-de-chanvre-cannabis-sativa.jpg,,,"
						Aliksir
					"
984,Ensemble 3 morceaux Microfibre - Earthlite,"Ensemble 3 morceaux en Microfibre de Earthlite  ,
,Cet ensemble de draps en microfibres de qualité supérieure est soyeux au toucher, durable enlève aisément l'huile de massage lors du lavage. ,
,L'ensemble comprend un drap-housse, un drap de dessus et une housse appui-tête.,
",https://massageboutik.com/fr/magasiner-tout-produits-massage-boutik/984-ensemble-3-morceaux-microfibre-earthlite.html,new,CAD$34.99,In Stock,https://massageboutik.com/4201-large_default/ensemble-3-morceaux-microfibre-earthlite.jpg,,31863,"
						Earthlite
					"
938,Lotion de Massage Aromathérapie 'Renewal' - Biotone,"Lotion de Massage Aromathérapie 'Renewal',
,Cette lotion de massage est composée d'un mélange d'huiles essentielles à 100 % de menthe, de romarin, de citronnelle, de bergamote, d'ylang ylang et de litsea.",https://massageboutik.com/fr/home/938-lotion-de-massage-aromatherapie-renewal-bitone.html,new,CAD$1.25,In Stock,https://massageboutik.com/4257-large_default/lotion-de-massage-aromatherapie-renewal-bitone.jpg,,,"
						Biotone
					"
716,Anatomie & Pathologie 58 planches Gage,"Auteur :, Gage, John,Éditeur :, PRADEL,Format :, 29,2X32,8,Nombre de pages :, 130 p.",https://massageboutik.com/fr/livres-chartes-et-reflexologie/716-anatomie-pathologie-58-planches-gage-9782913996984.html,new,CAD$32.95,In Stock,https://massageboutik.com/2999-large_default/anatomie-pathologie-58-planches-gage.jpg,,9782913996984,
1021,Souplesse - Huile de massage,"Souplesse - Huile de massage,
,Huile à massage avec huiles essentielles permettant de relaxer les muscles.  ,
,Recommandée pour les douleurs musculaires et les brûlures. ",https://massageboutik.com/fr/magasiner-tout-produits-massage-boutik/1021-souplesse-huile-de-massage.html,new,CAD$31.28,In Stock,https://massageboutik.com/4567-large_default/souplesse-huile-de-massage.jpg,,PBE-MD-SS 80,"
						Aliksir
					"
346,Pouce thérapeutique,Cet outil vous permettra de relacher vos pouces tout en appliquant toute la pression demandée.,https://massageboutik.com/fr/accessoires-therapeutiques-pour-massage/346-pouce-therapeutique.html,new,CAD$9.99,In Stock,https://massageboutik.com/856-large_default/pouce-therapeutique.jpg,,SAUVEPOUCE,
965,Oreiller en vinyle,"Oreiller en vinyle ,
,Vous trouverez très pratique cet oreiller en vinyle.,
,Facile à nettoyer après chaque soin. ,
,Il suffit de passer un linge humide avec votre désinfectant préféré. ",https://massageboutik.com/fr/magasiner-tout-produits-massage-boutik/965-oreiller-en-vinyle.html,new,CAD$19.99,In Stock,https://massageboutik.com/4063-large_default/oreiller-en-vinyle.jpg,,LS-VP1622,
864,Huile essentielle Verveine des Indes,"Huile Essentielle Verveine des Indes,
,(Cymbopogon citratus ou flexuosus),
,Le genre Cymbopogon comprend une cinquantaine d'espèces originaires d’Asie, mais dont certaines sont depuis très longtemps introduites et naturalisées dans tout le monde intertropical du fait de leurs excellentes vertus aromatiques, culinaires et médicinales.",https://massageboutik.com/fr/ambiance/864-huile-essentielle-aliksir-cedre-d-atlas.html,new,CAD$13.25,In Stock,https://massageboutik.com/4335-large_default/huile-essentielle-aliksir-cedre-d-atlas.jpg,, ,"
						Aliksir
					"
937,Lotion de Massage Aromathérapie 'Energy' - Biotone,"Lotion de Massage Aromathérapie ""Energy"" de Biotone,
,Cette lotion est composée d'un mélange d'huiles essentielles (mandarine, gingembre, citronnelle, clou de girofle, cannelle et orange douce).",https://massageboutik.com/fr/home/937-lotion-de-massage-aromatherapie-energy-bitone.html,new,CAD$1.25,In Stock,https://massageboutik.com/4255-large_default/lotion-de-massage-aromatherapie-energy-bitone.jpg,,,"
						Biotone
					"
861,Ventouse visage à l'unité,"Mini ventouse pour le visage à l'unité.,
,Silicone de grade médical transparent afin de mieux voir la réaction de la peau durant le traitement. ",https://massageboutik.com/fr/magasiner-tout-produits-massage-boutik/861-ventouse-visage-a-l-unite.html,new,CAD$3.00,In Stock,https://massageboutik.com/3528-large_default/ventouse-visage-a-l-unite.jpg,,,
1022,Sérum No.1 Intemporel (peau mature),"Sérum no 1 Intemporel (peau mature),
,Sérum pour peau mature.",https://massageboutik.com/fr/magasiner-tout-produits-massage-boutik/1022-serum-no-1-intemporel-peau-mature.html,new,CAD$26.75,In Stock,https://massageboutik.com/4568-large_default/serum-no-1-intemporel-peau-mature.jpg,,PBE-SE- S1 15,"
						Aliksir
					"
715,Livre - Anatomie à Colorier,Acheter Livre - Anatomie à Colorier de Massage Boutik,https://massageboutik.com/fr/livres-chartes-et-reflexologie/715-anatomie-a-colorier.html,new,CAD$31.95,In Stock,https://massageboutik.com/3124-large_default/anatomie-a-colorier.jpg,,,
936,Lotion de Massage Aromathérapie 'Calming' - Biotone,"Lotion de Massage Aromathérapie 'Calming' de Biotone,
,La lotion de massage ""Calming"" de Biotone est composée d'un mélange d'huiles essentielles de camomille, de lavande, de bois de rose, de mandarine, de petit grain et de balsam peru.",https://massageboutik.com/fr/home/936-lotion-de-massage-aromatherapie-calming-bitone.html,new,CAD$1.25,In Stock,https://massageboutik.com/3908-large_default/lotion-de-massage-aromatherapie-calming-bitone.jpg,,,"
						Biotone
					"
879,Ensemble de 12 ventouses à pompes,"Les ventouses Kang Zhu sont réputées pour leurs hautes qualités, elles sont pratiques et faciles à utiliser.,
,La thérapie par les ventouses est utilisée pour soulager les douleurs du dos, du cou et des jambes, les muscles raides, soulager l'anxiété, la fatigue, les migraines, les rhumatismes et même la cellulite, améliorer la fonction immunitaire musculaire et guérir diverses maladies.,
",https://massageboutik.com/fr/magasiner-tout-produits-massage-boutik/879-ensemble-de-12-ventouses-a-pompes.html,new,CAD$35.00,In Stock,https://massageboutik.com/3656-large_default/ensemble-de-12-ventouses-a-pompes.jpg,,30030200   ,
714,Masso-Kinésithérapie & Thérapie Manuelle Pratiques,Acheter Masso-Kinésithérapie & Thérapie Manuelle Pratiques de Massage Boutik,https://massageboutik.com/fr/livres-chartes-et-reflexologie/714-masso-kinesitherapie-therapie-manuelle-pratiques-9782294759727.html,new,CAD$115.99,In Stock,https://massageboutik.com/2997-large_default/masso-kinesitherapie-therapie-manuelle-pratiques.jpg,,9782294759727,
662,Huile essentielle Pin Sylvestre / Pinus Sylvestris Biologique,Huile essentielle Biologique Aliksir de Pin Sylvestre / Pinus Sylvestris.,https://massageboutik.com/fr/ambiance/662-huile-essentielle-sauge-salvia-officinalis.html,new,CAD$18.68,In Stock,https://massageboutik.com/2896-large_default/huile-essentielle-sauge-salvia-officinalis.jpg,, ,"
						Aliksir
					"
848,Appareil de massage par percussion - Sportster,"Le masseur de vibrations Hi5 Sportster est le dernier masseur portable révolutionnaire. ,
,Soulagement rapide de la fatigue et restauration de l'énergie. ",https://massageboutik.com/fr/equipements-de-massage/848-appareil-de-massage-percussion-de-sportster.html,new,CAD$149.99,In Stock,https://massageboutik.com/3461-large_default/appareil-de-massage-percussion-de-sportster.jpg,,S04396-XXX,
645,Chaise de sol Ray-Lax,"La chaise de sol fabriquée au Québec!,
,Idéale pour la méditation, la lecture et les enfants.",https://massageboutik.com/fr/traversins-et-coussins-de-massage/645-chaise-de-sol-ray-lax.html,new,CAD$42.99,In Stock,https://massageboutik.com/2822-large_default/chaise-de-sol-ray-lax.jpg,,CHARAY-XXX,
1011,Drap housse/contour - Tricot 50/50 Polyester et Coton,Drap contour (housse) épousant parfaitement votre table ou chaise de soins.,https://massageboutik.com/fr/literie-de-massage/1011-drap-houssecontour-tricot-de-coton.html,new,CAD$23.99,In Stock,https://massageboutik.com/4483-large_default/drap-houssecontour-tricot-de-coton.jpg,,AH600EXXXX-TPCX,"
						Allez Housses
					"
979,Serviette à mains en Ratine - Importé du Pakistan,Acheter Serviette à mains en Ratine - Importé du Pakistan de Massage Boutik,https://massageboutik.com/fr/magasiner-tout-produits-massage-boutik/979-serviette-a-mains-en-ratine-16-x27-.html,new,CAD$2.50,In Stock,https://massageboutik.com/4134-large_default/serviette-a-mains-en-ratine-16-x27-.jpg,,,
935,Lotion de Massage Aromathérapie 'Bliss' - Biotone,"Lotion de Massage Aromathérapie 'Bliss',
,La lotion de massage Bliss est composée d'un mélange d'huiles essentielles de bergamote, bois de rose, coriandre, orange douce, pamplemousse et de ylang ylang.,
",https://massageboutik.com/fr/home/935-lotion-de-massage-aromatherapie-bliss-bitone.html,new,CAD$1.25,In Stock,https://massageboutik.com/3904-large_default/lotion-de-massage-aromatherapie-bliss-bitone.jpg,,,"
						Biotone
					"
