id,title,description,link,condition,price,availability,image link,gtin,mpn,brand
Mass89,Housse de rallonge de table/appui-bras Nomad,,https://massageboutik.com/en/comfort-accessories-for-massage/227-housse-de-rallonge-de-tableappui-bras-nomad.html,new,$10.99,In Stock,https://massageboutik.com/561-large_default/housse-de-rallonge-de-tableappui-bras-nomad.jpg,,AH700ETN,"
				    Allez Housses
				"
Mass90,ProFlex Nomad Table,,https://massageboutik.com/en/massage-equipment/314-proflex-nomad-table.html,new,$811.00,In Stock,https://massageboutik.com/713-large_default/proflex-nomad-table.jpg,,,"
				    Nomad
				"
Mass91,Nomad Pro Table,,https://massageboutik.com/en/massage-equipment/313-nomad-pro-table.html,new,$717.00,In Stock,https://massageboutik.com/3992-large_default/nomad-pro-table.jpg,,,"
				    Nomad
				"
Mass92,Flannel Headrest Cover,,https://massageboutik.com/en/massage-linen/207-flannel-headrest-cover.html,new,$5.99,In Stock,https://massageboutik.com/963-large_default/flannel-headrest-cover.jpg,,AH700H-FX,"
				    Allez Housses
				"
Mass93,7x12 round buckweat bolster - Pair,,https://massageboutik.com/en/massage-equipment/214-7x12-round-buckweat-bolster-pair.html,new,$28.99,In Stock,https://massageboutik.com/539-large_default/7x12-round-buckweat-bolster-pair.jpg,,AH778S712,"
				    Allez Housses
				"
Mass94,Hooded bathrobe - Men,,https://massageboutik.com/en/lingerie/298-robe-de-chambre-capuchon.html,new,$89.99,In Stock,https://massageboutik.com/755-large_default/robe-de-chambre-capuchon.jpg,,,"
				    Allez Housses
				"
Mass95,Traversin sarrasin rond 4x12,,https://massageboutik.com/en/massage-equipment/211-traversin-sarrasin-rond-4x12-.html,new,$13.99,In Stock,https://massageboutik.com/527-large_default/traversin-sarrasin-rond-4x12-.jpg,,AH778S412,"
				    Allez Housses
				"
Mass96,Jar Holster + 4 oz Jar,,https://massageboutik.com/en/bottles-pumps-and-belts/196-jar-holster-4-oz-jar.html,new,$36.99,In Stock,https://massageboutik.com/462-large_default/jar-holster-4-oz-jar.jpg,,HOLJ2,"
				    Biotone
				"
Mass97,Dual-Purpose Biotone Massage Creme,,https://massageboutik.com/en/massage-products/155-dual-purpose-biotone-massage-creme.html,new,$25.99,In Stock,https://massageboutik.com/420-large_default/dual-purpose-biotone-massage-creme.jpg,,DPC,"
				    Biotone
				"
Mass98,Bambino - Massage cream maple cookie,,https://massageboutik.com/en/massage-products/125-bambino-massage-cream-maple-cookie.html,new,$9.59,In Stock,https://massageboutik.com/341-large_default/bambino-massage-cream-maple-cookie.jpg,,BAMXXXMER,"
				    Les Soins Corporels l'Herbier
				"
Mass99,3 Pieces Flannel Sheet Set,,https://massageboutik.com/en/massage-linen/203-3-pieces-flannel-sheet-set.html,new,$44.99,In Stock,https://massageboutik.com/498-large_default/3-pieces-flannel-sheet-set.jpg,,,"
				    Allez Housses
				"
